tag,country,province,lat,lng
779,"Korea, North",Hamnam,39.9101,127.5454
781,Nigeria,Kwara,8.49,4.55
782,Germany,Saarland,49.2504,6.97
785,Pakistan,Balochistān,30.22,67.025
786,Peru,La Libertad,-8.12,-79.02
787,Congo (Kinshasa),Kasaï Central,-5.89,22.4
788,Turkey,Trabzon,40.98,39.72
790,US,New Mexico,35.1053,-106.6464
791,Poland,Łódzkie,51.775,19.4514
792,Poland,Małopolskie,50.06,19.96
796,Yemen,Ta‘izz,13.6045,44.0394
798,Morocco,Tanger-Tétouan-Al Hoceïma,35.7473,-5.8327
799,Taiwan,Hsinchu,24.8168,120.9767
800,Taiwan,Changhua,24.0734,120.5134
802,Uzbekistan,Farg‘ona,40.39,71.78
803,Uzbekistan,Namangan,41.0,71.67
804,Belgium,Wallonia,50.63,5.58
806,US,Alabama,33.5277,-86.7987
808,Philippines,Naga,13.6192,123.1814
809,Poland,Pomorskie,54.36,18.64
814,Indonesia,Bali,-8.65,115.22
815,Nigeria,Sokoto,13.06,5.24
817,Germany,Bremen,53.08,8.8
818,Iraq,As Sulaymānīyah,35.5613,45.4309
819,Germany,Lower Saxony,52.367,9.7167
820,Colombia,Norte de Santander,7.92,-72.52
822,Tanzania,Kilimanjaro,-3.3396,37.34
824,Japan,Kumamoto,32.8009,130.7006
827,Mexico,Guerrero,16.85,-99.916
828,Afghanistan,Kandahār,31.61,65.6949
829,India,Uttarakhand,30.3204,78.05
831,"Korea, South",Jeonbuk,35.8314,127.1404
832,Uzbekistan,Samarqand,39.67,66.945
839,Zimbabwe,Bulawayo,-20.17,28.58
843,Argentina,Buenos Aires,-34.9096,-57.96
845,Nigeria,Enugu,6.45,7.5
847,Brazil,Sergipe,-10.9,-37.12
850,Honduras,Cortés,15.5,-88.03
854,Malaysia,Perak,4.6,101.065
855,"Korea, North",Hambuk,41.7846,129.79
857,Japan,Tochigi,36.55,139.87
859,Iraq,An Najaf,32.0003,44.3354
863,Congo (Brazzaville),Pointe-Noire,-4.77,11.88
865,Egypt,Al Ismā‘īlīyah,30.5903,32.26
868,Vietnam,Đồng Nai,10.97,106.8301
871,Jordan,Irbid,32.55,35.85
873,Uzbekistan,Andijon,40.79,72.34
874,Russia,Krasnodarskiy Kray,45.02,39.0
875,Spain,Aragon,41.65,-0.89
876,Italy,Liguria,44.41,8.93
877,Turkey,Diyarbakır,37.9204,40.23
878,Mexico,Michoacán de Ocampo,19.7334,-101.1895
879,Russia,Ul’yanovskaya Oblast’,54.33,48.41
880,Netherlands,Utrecht,52.1003,5.12
881,Congo (Kinshasa),Kwilu,-5.03,18.85
883,Indonesia,Yogyakarta,-7.78,110.375
884,Poland,Dolnośląskie,51.1104,17.03
885,Canada,Manitoba,49.883,-97.166
886,Russia,Udmurtiya,56.85,53.23
892,Poland,Wielkopolskie,52.4058,16.8999
894,Egypt,Būr Sa‘īd,31.26,32.29
897,United Kingdom,Southend-on-Sea,51.55,0.72
